Protein,Drug,Cell_lines
15448,DB12695,HEPG2
16879,DB12695,HEPG2
15545,DB12695,HEPG2
5369,DB12695,HEPG2
1064,DB12695,HEPG2
6666,DB12695,HEPG2
6747,DB12695,HEPG2
7647,DB12695,HEPG2
18923,DB12695,HEPG2
10638,DB12695,HEPG2
11525,DB12695,HEPG2
7102,DB12695,HEPG2
453,DB12695,HEPG2
10562,DB12695,HEPG2
8947,DB12695,HEPG2
2367,DB12695,HEPG2
1531,DB12695,HEPG2
13039,DB12695,HEPG2
13912,DB12695,LOVO
5863,DB12695,LOVO
11849,DB12695,LOVO
15653,DB12695,LOVO
4040,DB12695,LOVO
5635,DB12695,LOVO
15448,DB12695,LOVO
16879,DB12695,LOVO
15545,DB12695,LOVO
5369,DB12695,LOVO
1064,DB12695,LOVO
6666,DB12695,LOVO
6747,DB12695,LOVO
7647,DB12695,LOVO
18923,DB12695,LOVO
10638,DB12695,LOVO
11525,DB12695,LOVO
7102,DB12695,LOVO
453,DB12695,LOVO
10562,DB12695,LOVO
8947,DB12695,LOVO
2367,DB12695,LOVO
1531,DB12695,LOVO
13039,DB12695,LOVO
13912,DB12695,MCF7
5863,DB12695,MCF7
11849,DB12695,MCF7
15653,DB12695,MCF7
4040,DB12695,MCF7
5635,DB12695,MCF7
15448,DB12695,MCF7
16879,DB12695,MCF7
15545,DB12695,MCF7
5369,DB12695,MCF7
1064,DB12695,MCF7
6666,DB12695,MCF7
6747,DB12695,MCF7
7647,DB12695,MCF7
18923,DB12695,MCF7
10638,DB12695,MCF7
11525,DB12695,MCF7
7102,DB12695,MCF7
453,DB12695,MCF7
10562,DB12695,MCF7
8947,DB12695,MCF7
2367,DB12695,MCF7
1531,DB12695,MCF7
13039,DB12695,MCF7
13912,DB12695,PC3
5863,DB12695,PC3
11849,DB12695,PC3
15653,DB12695,PC3
4040,DB12695,PC3
5635,DB12695,PC3
15448,DB12695,PC3
16879,DB12695,PC3
15545,DB12695,PC3
5369,DB12695,PC3
1064,DB12695,PC3
6666,DB12695,PC3
6747,DB12695,PC3
7647,DB12695,PC3
18923,DB12695,PC3
10638,DB12695,PC3
11525,DB12695,PC3
7102,DB12695,PC3
453,DB12695,PC3
10562,DB12695,PC3
8947,DB12695,PC3
2367,DB12695,PC3
1531,DB12695,PC3
13039,DB12695,PC3
13912,DB12695,SKM1
5863,DB12695,SKM1
11849,DB12695,SKM1
15653,DB12695,SKM1
4040,DB12695,SKM1
5635,DB12695,SKM1
15448,DB12695,SKM1
16879,DB12695,SKM1
15545,DB12695,SKM1
5369,DB12695,SKM1
1064,DB12695,SKM1
6666,DB12695,SKM1
6747,DB12695,SKM1
7647,DB12695,SKM1
18923,DB12695,SKM1
10638,DB12695,SKM1
11525,DB12695,SKM1
7102,DB12695,SKM1
453,DB12695,SKM1
10562,DB12695,SKM1
8947,DB12695,SKM1
2367,DB12695,SKM1
1531,DB12695,SKM1
13039,DB12695,SKM1
13912,DB12695,SKMEL28
5863,DB12695,SKMEL28
11849,DB12695,SKMEL28
15653,DB12695,SKMEL28
4040,DB12695,SKMEL28
5635,DB12695,SKMEL28
15448,DB12695,SKMEL28
16879,DB12695,SKMEL28
15545,DB12695,SKMEL28
5369,DB12695,SKMEL28
1064,DB12695,SKMEL28
6666,DB12695,SKMEL28
6747,DB12695,SKMEL28
7647,DB12695,SKMEL28
18923,DB12695,SKMEL28
10638,DB12695,SKMEL28
11525,DB12695,SKMEL28
7102,DB12695,SKMEL28
453,DB12695,SKMEL28
10562,DB12695,SKMEL28
8947,DB12695,SKMEL28
2367,DB12695,SKMEL28
1531,DB12695,SKMEL28
13039,DB12695,SKMEL28
13912,DB12695,SW620
5863,DB12695,SW620
11849,DB12695,SW620
15653,DB12695,SW620
4040,DB12695,SW620
5635,DB12695,SW620
15448,DB12695,SW620
16879,DB12695,SW620
15545,DB12695,SW620
5369,DB12695,SW620
1064,DB12695,SW620
6666,DB12695,SW620
6747,DB12695,SW620
7647,DB12695,SW620
18923,DB12695,SW620
10638,DB12695,SW620
11525,DB12695,SW620
7102,DB12695,SW620
453,DB12695,SW620
10562,DB12695,SW620
8947,DB12695,SW620
2367,DB12695,SW620
1531,DB12695,SW620
13039,DB12695,SW620
13912,DB12695,SW948
5863,DB12695,SW948
11849,DB12695,SW948
15653,DB12695,SW948
4040,DB12695,SW948
5635,DB12695,SW948
15448,DB12695,SW948
16879,DB12695,SW948
15545,DB12695,SW948
5369,DB12695,SW948
1064,DB12695,SW948
6666,DB12695,SW948
6747,DB12695,SW948
7647,DB12695,SW948
18923,DB12695,SW948
10638,DB12695,SW948
11525,DB12695,SW948
7102,DB12695,SW948
453,DB12695,SW948
10562,DB12695,SW948
8947,DB12695,SW948
2367,DB12695,SW948
1531,DB12695,SW948
13039,DB12695,SW948
13912,DB12695,U937
5863,DB12695,U937
11849,DB12695,U937
15653,DB12695,U937
4040,DB12695,U937
5635,DB12695,U937
15448,DB12695,U937
16879,DB12695,U937
15545,DB12695,U937
5369,DB12695,U937
1064,DB12695,U937
6666,DB12695,U937
6747,DB12695,U937
7647,DB12695,U937
18923,DB12695,U937
10638,DB12695,U937
11525,DB12695,U937
7102,DB12695,U937
453,DB12695,U937
10562,DB12695,U937
8947,DB12695,U937
2367,DB12695,U937
1531,DB12695,U937
13039,DB12695,U937
13912,DB12695,VCAP
5863,DB12695,VCAP
11849,DB12695,VCAP
15653,DB12695,VCAP
4040,DB12695,VCAP
5635,DB12695,VCAP
15448,DB12695,VCAP
16879,DB12695,VCAP
15545,DB12695,VCAP
5369,DB12695,VCAP
1064,DB12695,VCAP
6666,DB12695,VCAP
6747,DB12695,VCAP
7647,DB12695,VCAP
18923,DB12695,VCAP
10638,DB12695,VCAP
11525,DB12695,VCAP
7102,DB12695,VCAP
453,DB12695,VCAP
10562,DB12695,VCAP
8947,DB12695,VCAP
2367,DB12695,VCAP
1531,DB12695,VCAP
13039,DB12695,VCAP
13626,DB00197,PC3
10213,DB00197,PC3
14598,DB00197,PC3
13626,DB00197,HT115
10213,DB00197,HT115
14598,DB00197,HT115
13626,DB00197,HT29
10213,DB00197,HT29
14598,DB00197,HT29
6879,DB00513,MCF7
2981,DB02010,A375
9659,DB02010,A375
12062,DB02010,A375
15463,DB02010,A375
10252,DB02010,A375
2658,DB02010,A375
2981,DB02010,A549
9659,DB02010,A549
12062,DB02010,A549
15463,DB02010,A549
10252,DB02010,A549
2658,DB02010,A549
2981,DB02010,HA1E
9659,DB02010,HA1E
12062,DB02010,HA1E
15463,DB02010,HA1E
10252,DB02010,HA1E
2658,DB02010,HA1E
2981,DB02010,HCC515
9659,DB02010,HCC515
12062,DB02010,HCC515
15463,DB02010,HCC515
10252,DB02010,HCC515
2658,DB02010,HCC515
2981,DB02010,HEPG2
9659,DB02010,HEPG2
12062,DB02010,HEPG2
15463,DB02010,HEPG2
10252,DB02010,HEPG2
2658,DB02010,HEPG2
2981,DB02010,HT29
9659,DB02010,HT29
12062,DB02010,HT29
15463,DB02010,HT29
10252,DB02010,HT29
2658,DB02010,HT29
2981,DB02010,MCF7
9659,DB02010,MCF7
12062,DB02010,MCF7
15463,DB02010,MCF7
10252,DB02010,MCF7
2658,DB02010,MCF7
2981,DB02010,PC3
9659,DB02010,PC3
12062,DB02010,PC3
15463,DB02010,PC3
10252,DB02010,PC3
2658,DB02010,PC3
5172,DB00518,A375
8583,DB00518,A375
5172,DB00518,A549
8583,DB00518,A549
5172,DB00518,HT29
8583,DB00518,HT29
5172,DB00518,MCF7
8583,DB00518,MCF7
5172,DB00518,NPC
8583,DB00518,NPC
5172,DB00518,HA1E
8583,DB00518,HA1E
5172,DB00518,HCC515
8583,DB00518,HCC515
5172,DB00518,PC3
8583,DB00518,PC3
5172,DB00518,VCAP
8583,DB00518,VCAP
17549,DB01809,ASC
17549,DB01809,HT29
17549,DB01809,MCF7
17549,DB01809,NPC
17549,DB01809,SKB
17549,DB01809,HA1E
17549,DB01809,HCC515
17549,DB01809,PC3
17549,DB01809,VCAP
1775,DB03791,A549
1775,DB03791,ASC
1775,DB03791,HA1E
1775,DB03791,HCC515
1775,DB03791,PC3
14442,DB00328,A375
17795,DB00328,A375
7850,DB00328,A375
14442,DB00328,PC3
17795,DB00328,PC3
7850,DB00328,PC3
881,DB01197,HT29
638,DB02967,A375
638,DB02967,MCF7
638,DB02967,VCAP
11590,DB03496,A375
3097,DB03496,A375
12994,DB03496,A375
11590,DB03496,A549
3097,DB03496,A549
12994,DB03496,A549
11590,DB03496,ASC
3097,DB03496,ASC
12994,DB03496,ASC
11590,DB03496,HA1E
3097,DB03496,HA1E
12994,DB03496,HA1E
11590,DB03496,HCC515
3097,DB03496,HCC515
12994,DB03496,HCC515
11590,DB03496,HT29
3097,DB03496,HT29
12994,DB03496,HT29
11590,DB03496,MCF7
3097,DB03496,MCF7
12994,DB03496,MCF7
11590,DB03496,NPC
3097,DB03496,NPC
12994,DB03496,NPC
11590,DB03496,PC3
3097,DB03496,PC3
12994,DB03496,PC3
11590,DB03496,PHH
3097,DB03496,PHH
12994,DB03496,PHH
11590,DB03496,SKB
3097,DB03496,SKB
12994,DB03496,SKB
11590,DB03496,HEPG2
3097,DB03496,HEPG2
12994,DB03496,HEPG2
11590,DB03496,VCAP
3097,DB03496,VCAP
12994,DB03496,VCAP
11590,DB03496,BT20
3097,DB03496,BT20
12994,DB03496,BT20
11590,DB03496,HME1
3097,DB03496,HME1
12994,DB03496,HME1
11590,DB03496,HS578T
3097,DB03496,HS578T
12994,DB03496,HS578T
11590,DB03496,LNCAP
3097,DB03496,LNCAP
12994,DB03496,LNCAP
11590,DB03496,MCF10A
3097,DB03496,MCF10A
12994,DB03496,MCF10A
11590,DB03496,MDAMB231
3097,DB03496,MDAMB231
12994,DB03496,MDAMB231
11590,DB03496,SKBR3
3097,DB03496,SKBR3
12994,DB03496,SKBR3
16961,DB00227,A549
16961,DB00227,MCF7
16961,DB00227,NPC
16961,DB00227,HA1E
16961,DB00227,HCC515
16961,DB00227,PC3
16961,DB00227,HEPG2
16961,DB00227,VCAP
5370,DB02546,A375
7967,DB02546,A375
5370,DB02546,A549
7967,DB02546,A549
5370,DB02546,A673
7967,DB02546,A673
5370,DB02546,AGS
7967,DB02546,AGS
5370,DB02546,ASC
7967,DB02546,ASC
5370,DB02546,CL34
7967,DB02546,CL34
5370,DB02546,CORL23
7967,DB02546,CORL23
5370,DB02546,COV644
7967,DB02546,COV644
5370,DB02546,DV90
7967,DB02546,DV90
5370,DB02546,EFO27
7967,DB02546,EFO27
5370,DB02546,H1299
7967,DB02546,H1299
5370,DB02546,HA1E
7967,DB02546,HA1E
5370,DB02546,HCC15
7967,DB02546,HCC15
5370,DB02546,HCC515
7967,DB02546,HCC515
5370,DB02546,HCT116
7967,DB02546,HCT116
5370,DB02546,HEC108
7967,DB02546,HEC108
5370,DB02546,HEPG2
7967,DB02546,HEPG2
5370,DB02546,HT115
7967,DB02546,HT115
5370,DB02546,HT29
7967,DB02546,HT29
5370,DB02546,JHUEM2
7967,DB02546,JHUEM2
5370,DB02546,LOVO
7967,DB02546,LOVO
5370,DB02546,MCF7
7967,DB02546,MCF7
5370,DB02546,MDST8
7967,DB02546,MDST8
5370,DB02546,NCIH1694
7967,DB02546,NCIH1694
5370,DB02546,NCIH1836
7967,DB02546,NCIH1836
5370,DB02546,NCIH2073
7967,DB02546,NCIH2073
5370,DB02546,NCIH508
7967,DB02546,NCIH508
5370,DB02546,NCIH596
7967,DB02546,NCIH596
5370,DB02546,NEU
7967,DB02546,NEU
5370,DB02546,NOMO1
7967,DB02546,NOMO1
5370,DB02546,NPC
7967,DB02546,NPC
5370,DB02546,OV7
7967,DB02546,OV7
5370,DB02546,PC3
7967,DB02546,PC3
5370,DB02546,PHH
7967,DB02546,PHH
5370,DB02546,PL21
7967,DB02546,PL21
5370,DB02546,RKO
7967,DB02546,RKO
5370,DB02546,RMGI
7967,DB02546,RMGI
5370,DB02546,RMUGS
7967,DB02546,RMUGS
5370,DB02546,SKB
7967,DB02546,SKB
5370,DB02546,SKLU1
7967,DB02546,SKLU1
5370,DB02546,SKM1
7967,DB02546,SKM1
5370,DB02546,SKMEL1
7967,DB02546,SKMEL1
5370,DB02546,SKMEL28
7967,DB02546,SKMEL28
5370,DB02546,SNGM
7967,DB02546,SNGM
5370,DB02546,SNUC4
7967,DB02546,SNUC4
5370,DB02546,SNUC5
7967,DB02546,SNUC5
5370,DB02546,SW480
7967,DB02546,SW480
5370,DB02546,SW620
7967,DB02546,SW620
5370,DB02546,SW948
7967,DB02546,SW948
5370,DB02546,T3M10
7967,DB02546,T3M10
5370,DB02546,THP1
7967,DB02546,THP1
5370,DB02546,TYKNU
7967,DB02546,TYKNU
5370,DB02546,U937
7967,DB02546,U937
5370,DB02546,VCAP
7967,DB02546,VCAP
5370,DB02546,WSUDLCL2
7967,DB02546,WSUDLCL2
15365,DB00380,A549
15365,DB00380,PC3
15365,DB00380,VCAP
4140,DB01073,A549
4140,DB01073,VCAP
4140,DB01073,A375
4140,DB01073,PC3
2967,DB00591,A549
4750,DB00591,A549
13690,DB00591,A549
2967,DB00591,HA1E
4750,DB00591,HA1E
13690,DB00591,HA1E
2967,DB00591,HCC515
4750,DB00591,HCC515
13690,DB00591,HCC515
8907,DB04581,VCAP
1896,DB03083,A549
1896,DB03083,ASC
1896,DB03083,HEPG2
1896,DB03083,HT29
1896,DB03083,MCF7
1896,DB03083,NPC
1896,DB03083,PHH
1896,DB03083,HA1E
1896,DB03083,HCC515
1896,DB03083,PC3
1896,DB03083,VCAP
15638,DB04608,A375
15638,DB04608,A549
15638,DB04608,ASC
15638,DB04608,HEPG2
15638,DB04608,HT29
15638,DB04608,MCF7
15638,DB04608,NPC
15638,DB04608,SKB
15638,DB04608,HA1E
15638,DB04608,HCC515
15638,DB04608,PC3
15638,DB04608,VCAP
5174,DB04665,HEPG2
8834,DB00480,A549
14290,DB00480,A549
1007,DB00480,A549
8834,DB00480,HCC515
14290,DB00480,HCC515
1007,DB00480,HCC515
5230,DB00206,A375
14938,DB00206,A375
5230,DB00206,HT29
14938,DB00206,HT29
5230,DB00206,MCF7
14938,DB00206,MCF7
5230,DB00206,HA1E
14938,DB00206,HA1E
5230,DB00206,HCC515
14938,DB00206,HCC515
14354,DB06061,A375
14354,DB06061,A549
14354,DB06061,BT20
14354,DB06061,HA1E
14354,DB06061,HCC515
14354,DB06061,HEPG2
14354,DB06061,HS578T
14354,DB06061,HT29
14354,DB06061,MCF10A
14354,DB06061,MCF7
14354,DB06061,MDAMB231
14354,DB06061,SKBR3
14068,DB00783,VCAP
9951,DB00783,VCAP
10078,DB00783,VCAP
14068,DB00783,HCC515
9951,DB00783,HCC515
10078,DB00783,HCC515
14068,DB00783,PC3
9951,DB00783,PC3
10078,DB00783,PC3
8526,DB00448,MCF7
8526,DB00448,VCAP
1535,DB00502,MCF7
14033,DB06195,A549
14033,DB06195,HEPG2
14033,DB06195,HT29
14033,DB06195,MCF7
14033,DB06195,HA1E
14033,DB06195,HCC515
14033,DB06195,PC3
14033,DB06195,VCAP
14033,DB06195,A375
14033,DB06195,BT20
14033,DB06195,HS578T
14033,DB06195,MDAMB231
14033,DB06195,SKBR3
5354,DB00917,ASC
5354,DB00917,PC3
5354,DB00917,VCAP
112,DB04297,A375
112,DB04297,A549
112,DB04297,ASC
112,DB04297,HA1E
112,DB04297,HCC515
112,DB04297,HEPG2
112,DB04297,HT29
112,DB04297,MCF7
112,DB04297,NEU
112,DB04297,NPC
112,DB04297,PC3
112,DB04297,PHH
112,DB04297,SKB
112,DB04297,VCAP
3254,DB00357,HCC515
3254,DB00357,HEPG2
3254,DB00357,VCAP
7243,DB00421,NPC
7243,DB00421,VCAP
7243,DB00421,HA1E
7243,DB00421,MCF7
4629,DB01009,HA1E
4629,DB01009,VCAP
11409,DB01023,PC3
5658,DB00561,VCAP
16969,DB00561,VCAP
851,DB01032,MCF7
1544,DB01032,MCF7
851,DB01032,PC3
1544,DB01032,PC3
1261,DB00338,MCF7
2451,DB06836,A375
2451,DB06836,A549
2451,DB06836,BT20
2451,DB06836,HA1E
2451,DB06836,HCC515
2451,DB06836,HEPG2
2451,DB06836,HS578T
2451,DB06836,HT29
2451,DB06836,MCF10A
2451,DB06836,MCF7
2451,DB06836,MDAMB231
2451,DB06836,PC3
2451,DB06836,SKBR3
4064,DB03880,AGS
4064,DB03880,HT29
4064,DB03880,MCF7
4064,DB03880,PC3
11111,DB02587,A549
8739,DB02587,A549
16450,DB02587,A549
11111,DB02587,ASC
8739,DB02587,ASC
16450,DB02587,ASC
11111,DB02587,HT29
8739,DB02587,HT29
16450,DB02587,HT29
11111,DB02587,MCF7
8739,DB02587,MCF7
16450,DB02587,MCF7
11111,DB02587,SKB
8739,DB02587,SKB
16450,DB02587,SKB
11111,DB02587,HA1E
8739,DB02587,HA1E
16450,DB02587,HA1E
11111,DB02587,HCC515
8739,DB02587,HCC515
16450,DB02587,HCC515
11111,DB02587,PC3
8739,DB02587,PC3
16450,DB02587,PC3
11111,DB02587,VCAP
8739,DB02587,VCAP
16450,DB02587,VCAP
11950,DB00233,MCF7
10971,DB00233,MCF7
18613,DB07080,ASC
18613,DB07080,MCF7
18613,DB07080,HA1E
18613,DB07080,HCC515
11928,DB03921,MCF7
11928,DB03921,HA1E
11928,DB03921,PC3
1585,DB07232,HEPG2
1585,DB07232,HT115
1585,DB07232,MCF7
1585,DB07232,NCIH508
1585,DB07232,PC3
1585,DB07232,THP1
1585,DB07232,VCAP
1585,DB07232,A549
1585,DB07232,HA1E
1585,DB07232,HCC515
13758,DB07340,A375
13758,DB07340,ASC
13758,DB07340,HT29
13758,DB07340,MCF7
13758,DB07340,PC3
13758,DB07340,PHH
13758,DB07340,SKB
13758,DB07340,VCAP
13476,DB07403,A549
13476,DB07403,HEPG2
13476,DB07403,HT29
13476,DB07403,MCF7
13476,DB07403,PC3
13476,DB07403,SW620
13476,DB07403,THP1
13476,DB07403,U937
4648,DB03777,A375
4648,DB03777,A549
4648,DB03777,HA1E
4648,DB03777,HT29
4648,DB03777,MCF7
4648,DB03777,PC3
4648,DB03777,VCAP
4648,DB03777,A673
4648,DB03777,AGS
4648,DB03777,EFO27
4648,DB03777,HCC515
4648,DB03777,HEC108
4648,DB03777,HEPG2
4648,DB03777,LOVO
4648,DB03777,MDST8
4648,DB03777,NCIH1694
4648,DB03777,NCIH2073
4648,DB03777,NCIH596
4648,DB03777,PL21
4648,DB03777,RMUGS
4648,DB03777,SKM1
4648,DB03777,SNUC4
4648,DB03777,SW620
4648,DB03777,SW948
4648,DB03777,THP1
4648,DB03777,U937
4648,DB03777,WSUDLCL2
9856,DB04751,A375
17157,DB04751,A375
9856,DB04751,A549
17157,DB04751,A549
9856,DB04751,HA1E
17157,DB04751,HA1E
9856,DB04751,HCC515
17157,DB04751,HCC515
9856,DB04751,HT29
17157,DB04751,HT29
9856,DB04751,MCF7
17157,DB04751,MCF7
9856,DB04751,PC3
17157,DB04751,PC3
9856,DB04751,VCAP
17157,DB04751,VCAP
14925,DB02255,MCF7
14925,DB02255,HA1E
14925,DB02255,HCC515
14925,DB02255,VCAP
10738,DB07970,MCF7
10738,DB07970,VCAP
10738,DB07970,HA1E
10738,DB07970,HCC515
10738,DB07970,HEPG2
10738,DB07970,PC3
38,DB08009,A375
38,DB08009,A549
38,DB08009,CL34
38,DB08009,COV644
38,DB08009,H1299
38,DB08009,HA1E
38,DB08009,HCC515
38,DB08009,HCT116
38,DB08009,HT29
38,DB08009,LOVO
38,DB08009,MCF7
38,DB08009,NCIH2073
38,DB08009,PC3
38,DB08009,RMGI
38,DB08009,RMUGS
38,DB08009,SKMEL28
38,DB08009,SNU1040
38,DB08009,SNUC4
38,DB08009,SW480
38,DB08009,TYKNU
38,DB08009,VCAP
9212,DB08080,A375
12468,DB08080,A375
9212,DB08080,A549
12468,DB08080,A549
9212,DB08080,ASC
12468,DB08080,ASC
9212,DB08080,HCC515
12468,DB08080,HCC515
9212,DB08080,HT29
12468,DB08080,HT29
9212,DB08080,MCF7
12468,DB08080,MCF7
9212,DB08080,PC3
12468,DB08080,PC3
9212,DB08080,PHH
12468,DB08080,PHH
9212,DB08080,SKB
12468,DB08080,SKB
9212,DB08080,VCAP
12468,DB08080,VCAP
9212,DB08080,HA1E
12468,DB08080,HA1E
6611,DB08162,A375
6611,DB08162,HA1E
15637,DB03203,A375
15637,DB03203,A549
15637,DB03203,HA1E
15637,DB03203,MCF7
15637,DB03203,PC3
16297,DB08348,A375
16297,DB08348,HA1E
16297,DB08348,HCC515
16297,DB08348,HT29
16297,DB08348,MCF7
16297,DB08348,SKM1
16297,DB08348,SKMEL28
16297,DB08348,SW620
16297,DB08348,VCAP
6701,DB06616,A549
2624,DB06616,A549
14910,DB06616,A549
6701,DB06616,ASC
2624,DB06616,ASC
14910,DB06616,ASC
6701,DB06616,HA1E
2624,DB06616,HA1E
14910,DB06616,HA1E
6701,DB06616,HCC515
2624,DB06616,HCC515
14910,DB06616,HCC515
6701,DB06616,HEPG2
2624,DB06616,HEPG2
14910,DB06616,HEPG2
6701,DB06616,HT29
2624,DB06616,HT29
14910,DB06616,HT29
6701,DB06616,MCF7
2624,DB06616,MCF7
14910,DB06616,MCF7
6701,DB06616,PC3
2624,DB06616,PC3
14910,DB06616,PC3
6701,DB06616,PHH
2624,DB06616,PHH
14910,DB06616,PHH
6701,DB06616,SKB
2624,DB06616,SKB
14910,DB06616,SKB
6701,DB06616,VCAP
2624,DB06616,VCAP
14910,DB06616,VCAP
6701,DB06616,A375
2624,DB06616,A375
14910,DB06616,A375
6105,DB00472,A375
6105,DB00472,A549
6105,DB00472,MCF7
6105,DB00472,HEPG2
6105,DB00472,PC3
6105,DB00472,VCAP
8490,DB00491,VCAP
7272,DB00491,VCAP
3383,DB08912,A375
13185,DB08912,A375
8171,DB08912,A375
3383,DB08912,A549
13185,DB08912,A549
8171,DB08912,A549
3383,DB08912,HA1E
13185,DB08912,HA1E
8171,DB08912,HA1E
3383,DB08912,HCC515
13185,DB08912,HCC515
8171,DB08912,HCC515
3383,DB08912,HEPG2
13185,DB08912,HEPG2
8171,DB08912,HEPG2
3383,DB08912,HT29
13185,DB08912,HT29
8171,DB08912,HT29
3383,DB08912,MCF7
13185,DB08912,MCF7
8171,DB08912,MCF7
3383,DB08912,PC3
13185,DB08912,PC3
8171,DB08912,PC3
8683,DB08916,A549
8683,DB08916,ASC
8683,DB08916,HA1E
8683,DB08916,HCC515
8683,DB08916,HEPG2
8683,DB08916,HT29
8683,DB08916,MCF7
8683,DB08916,PC3
8683,DB08916,SKB
8683,DB08916,VCAP
12343,DB01138,MCF7
15918,DB01026,MCF7
15918,DB01026,PC3
15918,DB01026,VCAP
9918,DB01092,A375
17535,DB01092,A375
9918,DB01092,A549
17535,DB01092,A549
9918,DB01092,ASC
17535,DB01092,ASC
9918,DB01092,HEPG2
17535,DB01092,HEPG2
9918,DB01092,HT29
17535,DB01092,HT29
9918,DB01092,MCF7
17535,DB01092,MCF7
9918,DB01092,NEU
17535,DB01092,NEU
9918,DB01092,NPC
17535,DB01092,NPC
9918,DB01092,SKB
17535,DB01092,SKB
9918,DB01092,HA1E
17535,DB01092,HA1E
9918,DB01092,PC3
17535,DB01092,PC3
14526,DB04209,MCF7
14526,DB04209,PC3
9238,DB03756,A375
9238,DB03756,HT29
16040,DB11156,MCF7
6365,DB00834,MCF7
6365,DB00834,VCAP
17418,DB06774,A375
17418,DB06774,A549
17418,DB06774,HA1E
17418,DB06774,HCC515
17418,DB06774,OV7
17418,DB06774,PC3
17418,DB06774,VCAP
3024,DB00903,MCF7
3024,DB00903,VCAP
